,B19013B_001E,B19013_001E,NAME,congressional district,state
191,42039.0,64341.0,"Congressional District 2 (115th Congress), Massachusetts",02,25
192,49243.0,72039.0,"Congressional District 3 (115th Congress), Massachusetts",03,25
193,63695.0,91203.0,"Congressional District 4 (115th Congress), Massachusetts",04,25
194,58022.0,86416.0,"Congressional District 5 (115th Congress), Massachusetts",05,25
195,51420.0,81711.0,"Congressional District 6 (115th Congress), Massachusetts",06,25
196,40953.0,55508.0,"Congressional District 7 (115th Congress), Massachusetts",07,25
197,51867.0,78995.0,"Congressional District 8 (115th Congress), Massachusetts",08,25
198,37210.0,64092.0,"Congressional District 9 (115th Congress), Massachusetts",09,25
199,31761.0,44864.0,"Congressional District 1 (115th Congress), Michigan",01,26
200,26968.0,50916.0,"Congressional District 2 (115th Congress), Michigan",02,26
201,28089.0,53680.0,"Congressional District 3 (115th Congress), Michigan",03,26
202,30257.0,46128.0,"Congressional District 4 (115th Congress), Michigan",04,26
203,25474.0,42100.0,"Congressional District 5 (115th Congress), Michigan",05,26
204,25951.0,49087.0,"Congressional District 6 (115th Congress), Michigan",06,26
205,32098.0,54225.0,"Congressional District 7 (115th Congress), Michigan",07,26
206,35428.0,65205.0,"Congressional District 8 (115th Congress), Michigan",08,26
207,35004.0,52684.0,"Congressional District 9 (115th Congress), Michigan",09,26
208,55000.0,58557.0,"Congressional District 10 (115th Congress), Michigan",10,26
209,53670.0,76851.0,"Congressional District 11 (115th Congress), Michigan",11,26
210,36343.0,53815.0,"Congressional District 12 (115th Congress), Michigan",12,26
211,25590.0,32076.0,"Congressional District 13 (115th Congress), Michigan",13,26
212,33543.0,42167.0,"Congressional District 14 (115th Congress), Michigan",14,26
213,26215.0,57780.0,"Congressional District 1 (115th Congress), Minnesota",01,27
214,49333.0,77468.0,"Congressional District 2 (115th Congress), Minnesota",02,27
215,40544.0,81804.0,"Congressional District 3 (115th Congress), Minnesota",03,27
216,30750.0,63826.0,"Congressional District 4 (115th Congress), Minnesota",04,27
217,24966.0,55396.0,"Congressional District 5 (115th Congress), Minnesota",05,27
218,34250.0,73884.0,"Congressional District 6 (115th Congress), Minnesota",06,27
219,20274.0,52930.0,"Congressional District 7 (115th Congress), Minnesota",07,27
220,19398.0,51684.0,"Congressional District 8 (115th Congress), Minnesota",08,27
221,30235.0,42647.0,"Congressional District 1 (115th Congress), Mississippi",01,28
222,25859.0,32409.0,"Congressional District 2 (115th Congress), Mississippi",02,28
223,27971.0,42767.0,"Congressional District 3 (115th Congress), Mississippi",03,28
224,26613.0,43173.0,"Congressional District 4 (115th Congress), Mississippi",04,28
225,32105.0,41817.0,"Congressional District 1 (115th Congress), Missouri",01,29
226,54353.0,76996.0,"Congressional District 2 (115th Congress), Missouri",02,29
227,37157.0,57658.0,"Congressional District 3 (115th Congress), Missouri",03,29
228,34959.0,45929.0,"Congressional District 4 (115th Congress), Missouri",04,29
229,32355.0,45886.0,"Congressional District 5 (115th Congress), Missouri",05,29
230,42854.0,55377.0,"Congressional District 6 (115th Congress), Missouri",06,29
231,30033.0,42719.0,"Congressional District 7 (115th Congress), Missouri",07,29
232,22467.0,39076.0,"Congressional District 8 (115th Congress), Missouri",08,29
233,28863.0,48380.0,"Congressional District (at Large) (115th Congress), Montana",00,30
234,36378.0,55048.0,"Congressional District 1 (115th Congress), Nebraska",01,31
235,28758.0,59906.0,"Congressional District 2 (115th Congress), Nebraska",02,31
236,29389.0,50034.0,"Congressional District 3 (115th Congress), Nebraska",03,31
237,27208.0,38941.0,"Congressional District 1 (115th Congress), Nevada",01,32
238,37592.0,55692.0,"Congressional District 2 (115th Congress), Nevada",02,32
239,50313.0,64740.0,"Congressional District 3 (115th Congress), Nevada",03,32
240,43217.0,53889.0,"Congressional District 4 (115th Congress), Nevada",04,32
241,48173.0,69225.0,"Congressional District 1 (115th Congress), New Hampshire",01,33
242,53536.0,67675.0,"Congressional District 2 (115th Congress), New Hampshire",02,33
243,45208.0,65770.0,"Congressional District 1 (115th Congress), New Jersey",01,34
244,35219.0,59785.0,"Congressional District 2 (115th Congress), New Jersey",02,34
245,67452.0,74644.0,"Congressional District 3 (115th Congress), New Jersey",03,34
246,52337.0,77685.0,"Congressional District 4 (115th Congress), New Jersey",04,34
247,65535.0,95701.0,"Congressional District 5 (115th Congress), New Jersey",05,34
248,58825.0,77157.0,"Congressional District 6 (115th Congress), New Jersey",06,34
249,75110.0,104987.0,"Congressional District 7 (115th Congress), New Jersey",07,34
250,41256.0,55493.0,"Congressional District 8 (115th Congress), New Jersey",08,34
251,42155.0,62559.0,"Congressional District 9 (115th Congress), New Jersey",09,34
252,40306.0,48168.0,"Congressional District 10 (115th Congress), New Jersey",10,34
253,81070.0,103419.0,"Congressional District 11 (115th Congress), New Jersey",11,34
254,53182.0,81115.0,"Congressional District 12 (115th Congress), New Jersey",12,34
255,39658.0,47990.0,"Congressional District 1 (115th Congress), New Mexico",01,35
256,42209.0,41600.0,"Congressional District 2 (115th Congress), New Mexico",02,35
257,43735.0,47956.0,"Congressional District 3 (115th Congress), New Mexico",03,35
258,50820.0,88242.0,"Congressional District 1 (115th Congress), New York",01,36
259,75895.0,90614.0,"Congressional District 2 (115th Congress), New York",02,36
260,80111.0,104805.0,"Congressional District 3 (115th Congress), New York",03,36
261,81304.0,96078.0,"Congressional District 4 (115th Congress), New York",04,36
262,65603.0,62979.0,"Congressional District 5 (115th Congress), New York",05,36
